date,open,high,low,close,volume,amount,outstanding_share,turnover
2010-03-29,10.99,12.44,10.92,12.1,237187200.0,2746217472.0,275000000.0,0.8624989090909091
2010-03-30,11.78,12.34,11.65,12.3,145188528.0,1728686720.0,275000000.0,0.5279582836363637
2010-03-31,12.04,12.1,11.41,11.53,107735616.0,1269371008.0,275000000.0,0.39176587636363636
2010-04-01,11.4,12.05,11.38,11.74,81467872.0,959374144.0,275000000.0,0.2962468072727273
2010-04-02,11.75,11.79,11.44,11.57,53158492.0,616099776.0,275000000.0,0.19330360727272727
2010-04-06,11.9,12.29,11.67,11.83,82682528.0,985137216.0,275000000.0,0.3006637381818182
2010-04-07,11.6,11.98,11.52,11.92,60940684.0,714814912.0,275000000.0,0.22160248727272727
2010-04-08,11.8,13.11,11.74,13.11,160290112.0,2068988928.0,275000000.0,0.5828731345454545
2010-04-09,12.61,13.05,12.61,12.84,79215248.0,1015405760.0,275000000.0,0.28805544727272725
2010-04-12,12.73,13.16,12.66,12.95,67038760.0,864972544.0,275000000.0,0.24377730909090908
2010-04-13,12.89,13.03,11.98,12.36,59604832.0,744725504.0,275000000.0,0.21674484363636365
2010-04-14,12.46,12.68,12.23,12.47,31112900.0,386494912.0,275000000.0,0.11313781818181819
2010-04-15,12.42,12.42,11.9,11.99,33335736.0,404503936.0,275000000.0,0.12122085818181819
2010-04-16,12.01,12.17,11.89,12.07,18484472.0,222276208.0,275000000.0,0.06721626181818181
2010-04-19,11.9,11.95,11.58,11.63,19265520.0,227073744.0,275000000.0,0.07005643636363636
2010-04-20,11.64,11.77,11.41,11.73,17014542.0,197139808.0,275000000.0,0.06187106181818182
2010-04-21,11.74,12.15,11.62,12.05,26314788.0,314993376.0,275000000.0,0.09569013818181818
2010-04-22,12.05,12.19,11.82,11.86,25631188.0,307638048.0,275000000.0,0.09320432
2010-04-23,11.77,11.89,11.64,11.68,16894254.0,198004736.0,275000000.0,0.061433650909090906
2010-04-26,11.71,11.96,11.53,11.78,14677622.0,172956432.0,275000000.0,0.05337317090909091
2010-04-27,11.62,11.76,10.93,11.4,20037712.0,226730464.0,275000000.0,0.07286440727272728
2010-04-28,11.25,11.36,10.98,11.09,12286286.0,136994592.0,275000000.0,0.04467740363636364
2010-04-29,11.15,11.35,11.01,11.09,13433810.0,150258080.0,275000000.0,0.04885021818181818
2010-04-30,11.0,11.14,10.31,10.53,15425705.0,164653472.0,275000000.0,0.05609347272727273
2010-05-04,10.24,10.45,10.08,10.13,10851681.0,111289144.0,275000000.0,0.03946065818181818
2010-05-05,10.01,10.5,9.93,10.49,13777382.0,141786880.0,275000000.0,0.05009957090909091
2010-05-06,10.4,10.59,9.98,10.01,13862176.0,142897488.0,275000000.0,0.05040791272727273
2010-05-07,9.75,9.98,9.63,9.7,12513213.0,122501808.0,275000000.0,0.04550259272727273
2010-05-10,9.7,10.06,9.69,9.98,12088093.0,119661664.0,275000000.0,0.043956701818181815
