SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
603291.SH,603291,联合水务,10000156123,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-25 00:00:00,2025-04-25 00:00:00,CNY,252941650.76,7.4663764171,252941650.76,7.4663764171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240892186.09,16.2465363622,179912810.06,15.4252624836,0.0,0.0,0.0,0.0,723062.82,43.039093916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12400067.85,506.3133938746,9506071.47,4.05771395,29143986.22,-0.8474223444,0.0,0.0,9206187.67,-10.4161982187,10317648.83,-6.336887862,1482742.83,79.1982553335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-470937.56,-245.6671289969,-527637.98,0.0,0.0,0.0,0.0,0.0,28181.38,102.1189172752,749374.61,178.9039732013,-921801.32,54.3691650049,5458844.89,-74.3769615556,0.0,0.0,0.0,0.0,16893126.67,-63.9149406659,566263.3,60.3603689326,0.0,0.0,221268.66,-59.5830867957,0.0,0.0,0.0,0.0,0,0.0,17238121.31,-63.0245050042,3951934.45,-67.4272024804,0.0,0.0,0.0,0.0,0.0,0.0,13286186.86,-61.4756584908,0.0,0.0,13148011.53,-42.2773300779,138175.33,-98.820009937,12526830.46,-62.7568003541,759356.4,-10.9317831649,8209414.47,-52.0902203861,0.0,0.0,0.0,0.0,0.0296,-62.7532402164,0.0296,-62.7532402164,-408317.3,-171.133921084,-164793.76,-156.2923748101,-243523.54,-186.5812435939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-164793.76,-156.2923748101,88669.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253463.28,-186.5812513674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12877869.56,-63.2709227651,12362036.7,-63.563868565,515832.86,-54.5049482639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
603291.SH,603291,联合水务,10000156123,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-25 00:00:00,2025-04-25 00:00:00,CNY,1140402852.76,1.1166873312,1140402852.76,1.1166873312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982688517.55,3.513483029,776521572.76,6.0553848628,0.0,0.0,0.0,0.0,3147895.8,78.5489510052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12692648.91,28.1157070077,38121687.64,1.5724867069,115763115.58,-6.8491140512,0.0,0.0,36441596.86,-16.5567413984,41342288.31,-12.498022687,6060779.8,7.8632141175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1294896.93,-502.348018522,-4308676.17,0.0,0.0,0.0,0.0,0.0,-64210.21,-116.1242307523,-3599790.92,-1.3328153199,-14374149.72,-78.0190281336,52600332.4,10.9493232476,0.0,0.0,0.0,0.0,190981619.83,-10.9395978363,29423367.97,323.4395924118,0.0,0.0,11230239.29,223.6882251411,0.0,0.0,0.0,0.0,0,0.0,209174748.51,-4.0129458073,53666853.32,0.379060383,0.0,0.0,0.0,0.0,0.0,0.0,155507895.19,-5.4407787346,0.0,0.0,116993623.14,-20.1513881132,38514272.05,114.7285161036,149926081.23,-5.8924942357,5581813.96,8.5548271141,94819213.92,-21.3679207256,0.0,0.0,0.0,0.0,0.3543,-8.2362082362,0.3543,-8.2362082362,-3238207.67,-189.4000619194,-1590385.82,-178.693116697,-1647821.85,-200.5440252583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1590385.82,-178.693116697,124694.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1715079.91,-200.5440311976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152269687.52,-6.7755366579,148335695.41,-6.5560533163,3933992.11,-14.3602307062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,标准无保留意见
603291.SH,603291,联合水务,10000156123,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2024-10-30 00:00:00,CNY,791009979.09,-4.5469716453,791009979.09,-4.5469716453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679255061.59,-3.0509145247,522802597.65,-2.7588685112,0.0,0.0,0.0,0.0,1567951.03,29.1992854925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6416102.8,-13.7412188328,28253219.92,-0.0542507728,92644241.83,2.1597594677,0.0,0.0,27570948.36,-22.0927668416,31424380.92,-11.5422879748,4463069.74,402.0116924041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1459370.56,-40.3350451881,-2314319.91,0.0,0.0,0.0,0.0,0.0,-59243.72,-113.2963279931,-658929.81,-159.9958064799,-3406023.38,27.1608736527,73388169.76,316.4072407366,0.0,0.0,0.0,0.0,179559519.79,28.1105372118,895459.33,-87.6188501608,0.0,0.0,2315397.64,23.0229732699,0.0,0.0,0.0,0.0,0,0.0,178139581.48,22.4241265283,44755242.3,22.8334756138,0.0,0.0,0.0,0.0,0.0,0.0,133384339.18,22.2873858229,0.0,0.0,94627403.64,-14.847783621,38756935.54,1987.943585461,129822723.95,20.9690058588,3561615.23,102.8843698472,75439884.15,-16.6649707086,0.0,0.0,0.0,0.0,0.30675,16.9373284538,0.30675,16.9373284538,-6156976.67,-503.3338776784,-3064638.76,-488.8427186905,-3092337.91,-518.4165131643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3064638.76,-488.8427186905,153917.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3218555.78,-518.4164869572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127227362.51,17.7442468719,126758085.19,18.6889615537,469277.32,-62.6207553121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
603291.SH,603291,联合水务,10000156123,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-29 00:00:00,2024-08-29 00:00:00,CNY,501999156.65,-7.8693729276,501999156.65,-7.8693729276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428091213.4,-7.9655507571,325440516.14,-8.6255198629,0.0,0.0,0.0,0.0,1004120.58,48.8331687595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4324386.26,-11.68607621,18496867.21,1.2424076674,60560048.64,0.1867031314,0.0,0.0,18265274.57,-26.0297918847,20912321.7,-14.9917425313,3141153.07,207.7996460898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-209296.4,86.4581379001,-886513.18,0.0,0.0,0.0,0.0,0.0,65975.61,-77.0368180198,-504527.51,61.371038371,-3582717.21,9.2026709639,44190410.13,252.3933720065,0.0,0.0,0.0,0.0,113867787.87,32.7669568485,655883.43,-88.9223923534,0.0,0.0,655019.51,-61.439385084,0.0,0.0,0.0,0.0,0,0.0,113868651.79,26.5386011066,28276109.49,22.6343162924,0.0,0.0,0.0,0.0,0.0,0.0,85592542.3,27.8836191937,0.0,0.0,61565012.68,-11.2507908836,24027529.62,1084.8888425756,83058004.98,25.4510926864,2534537.32,250.7768253267,49258249.64,-10.1311332006,0.0,0.0,0.0,0.0,0.19625,19.1777494383,0.19625,19.1777494383,-3358512.91,-287.0455549772,-1652099.08,-273.3197506121,-1706413.83,-301.3315873763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1652099.08,-273.3197506121,123964.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1776063.38,-301.3315824211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82234029.39,24.4795178783,81405905.91,23.7831453692,828123.48,178.4901934784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
603291.SH,603291,联合水务,10000156123,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-29 00:00:00,2025-04-25 00:00:00,CNY,235368176.72,-2.4808168199,235368176.72,-2.4808168199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207225259.03,-7.3779461079,155869526.47,-8.7705112369,0.0,0.0,0.0,0.0,505500.14,58.7561149352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2045158.16,-21.0769306317,9135383.73,4.2468760809,29393069.66,5.541055932,0.0,0.0,10276620.87,-23.0498770723,11015701.48,-14.5707314073,827431.51,53.5771752991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323297.07,416.6997498147,0.0,0.0,0.0,0.0,0.0,0.0,13942.97,-87.8314014925,-949729.88,-194.5755725099,-2020128.1,-542.7710731803,21304440.15,310.2425249821,0.0,0.0,0.0,-100.0,46814739.9,102.417576723,353119.23,-93.2216660006,0.0,0.0,547465.51,-80.2974468961,0.0,0.0,0.0,0.0,0,0.0,46620393.62,82.4053301001,12132622.16,42.2243865145,0.0,0.0,0.0,0.0,0.0,0.0,34487771.47,102.5349503554,0.0,0.0,22777899.13,28.8671334554,11709872.34,1908.6641021147,33635215.5,96.8978720369,852555.97,1664.0353278168,17135153.9,45.919142645,0.0,0.0,0.0,0.0,0.07947,77.3883928571,0.07947,77.3883928571,574012.08,126.5275845743,292746.15,126.527583699,281265.93,126.5275854853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292746.15,126.527583699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292746.15,126.527583699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35061783.55,135.8802801844,33927961.65,112.3282346312,1133821.9,201.7074756816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
603291.SH,603291,联合水务,10000156123,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-29 00:00:00,2025-04-25 00:00:00,CNY,1127808755.27,-2.5213326628,1127808755.27,-2.5213326628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949333834.39,-3.9042457861,732184955.78,-7.0945805009,0.0,0.0,0.0,0.0,1763043.57,34.3829935611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9907176.26,-4.1312278416,37531509.64,14.9197654174,124274841.19,22.7475620872,0.0,0.0,43672307.95,-19.509493772,47247261.81,-11.8049349167,5618949.75,221.1614374841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214974.88,-176.0238434388,0.0,0.0,0.0,0.0,0.0,0.0,398221.85,-5.2215919928,-3552443.41,-558.8694006754,-8074501.85,35.0008641997,47409331.45,105.7735592298,0.0,0.0,0.0,0.0,214440554.04,19.2284373455,6948657.73,283.4634306344,0.0,0.0,3469461.79,19.4615211683,0.0,0.0,0.0,0.0,0,0.0,217919749.98,21.9031126916,53464191.75,10.9764061443,0.0,0.0,0.0,0.0,0.0,0.0,164455558.23,25.9341477954,0.0,0.0,146519294.92,8.6238187022,17936263.31,517.2816391725,159313627.55,22.7994612346,5141930.68,502.282221236,120585917.09,7.7847236125,0.0,0.0,0.0,0.0,0.3861,13.358778626,0.3861,13.358778626,-1118938.14,74.2925440838,-570658.45,74.2925441283,-548279.69,74.2925440374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-570658.45,74.2925441283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-570658.45,74.2925441283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163336620.09,29.3899375481,158742969.1,24.4896664165,4593650.99,459.15278428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,标准无保留意见
603291.SH,603291,联合水务,10000156123,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-30 00:00:00,2024-10-30 00:00:00,CNY,828690291.68,4.4692117009,828690291.68,4.4692117009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700630705.55,2.1484151961,537635247.19,-0.22523654,0.0,0.0,0.0,0.0,1213591.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7438202.48,0.7890108074,28268555.83,18.8911760821,90685649.92,20.391479017,0.0,0.0,35389459.03,-12.7553252771,35524749.85,-9.1071312824,889037.01,29.9003996178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1039918.83,-600.9125412135,0.0,0.0,0.0,0.0,0.0,0.0,445564.52,509.8207851849,-253438.63,66.7713920645,-4676090.38,29.9296298942,17624133.92,18.2449721327,0.0,0.0,0.0,0.0,140159836.73,21.7793864487,7232440.78,433.9432855084,0.0,0.0,1882085.58,0.5432292775,0.0,0.0,0.0,0.0,0,0.0,145510191.93,26.9990040321,36435704.58,18.7715178327,0.0,0.0,0.0,0.0,0.0,0.0,109074487.35,30.0073427229,0.0,0.0,111127352.48,27.2119626367,-2052865.13,40.623029827,107318997.15,28.6869557858,1755490.2,248.7846213634,90526018.64,0.0,0.0,0.0,0.0,0.0,0.26232,19.8114586378,0.26232,19.8114586378,-1020492.45,61.9424254637,-520451.16,61.9424244899,-500041.29,61.9424264772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-520451.16,61.9424244899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-520451.16,61.9424244899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108053994.9,33.0431272616,106798545.99,30.1978932516,1255448.91,254.8806794114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
603291.SH,603291,联合水务,10000156123,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-30 00:00:00,2024-08-29 00:00:00,CNY,544877607.59,7.87918346,544877607.59,7.87918346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465142364.54,4.0417200887,356161277.91,1.76159019,0.0,0.0,0.0,0.0,674661.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4896607.55,0.4359556992,18269880.81,16.3305359119,60447191.84,26.0802682801,0.0,0.0,24692744.6,-13.5202890368,24600341.57,-10.7146031656,1020518.74,102.7258850317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1545551.11,-1352.6560698683,0.0,0.0,0.0,0.0,0.0,0.0,287310.4,270.4707942127,-1306086.13,-105.6409561781,-3945839.87,-23.8924996729,12540079.82,8.6091411717,0.0,0.0,0.0,0.0,85765156.16,30.0745738476,5920803.94,855.1441393465,0.0,0.0,1698674.96,1005.5530469574,0.0,0.0,0.0,0.0,0,0.0,89987285.14,35.5197335989,23057257.01,34.1102972584,0.0,0.0,0.0,0.0,0.0,0.0,66930028.13,36.0121672617,0.0,0.0,69369646.55,33.0390947768,-2439618.42,16.8344548529,66207478.31,34.7140688795,722549.82,1061.9560490879,54811250.43,37.92048631,0.0,0.0,0.0,0.0,0.16467,26.6692307692,0.16467,26.6692307692,-867730.65,48.4492220762,-442542.64,48.4492206477,-425188.02,48.4492223506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-442542.64,48.4492206477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-442542.64,48.4492206477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66062297.47,39.0036074973,65764935.66,36.1925317905,297361.81,138.9926112494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
603291.SH,603291,联合水务,10000156123,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-26 00:00:00,2024-04-29 00:00:00,CNY,241355771.29,26.2862530736,241355771.29,26.2862530736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223732092.22,23.7402342951,170854324.17,27.9527869132,0.0,0.0,0.0,0.0,318413.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2591331.25,-3.4659234535,8763220.61,25.0519270299,27849891.59,23.1753447792,0.0,0.0,13354911.57,-10.828707136,12894528.61,-7.3742162606,538772.45,90.9752254397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62569.62,-11.6773001801,0.0,0.0,0.0,0.0,0.0,0.0,114581.56,63.7194003705,-322406.19,-424.2673549102,456246.63,189.6623581731,5193133.05,70.5000854104,0.0,0.0,0.01,0.0,23127803.75,68.1567332731,5209528.33,663.4619474799,0.0,0.0,2778652.63,2173.099781513,0.0,0.0,0.0,0.0,0,0.0,25558679.45,78.5592858727,8530620.14,99.7120544135,0.0,0.0,0.0,0.0,0.0,0.0,17028059.31,69.562090528,0.0,0.0,17675491.43,47.3030005089,-647432.12,66.9177255424,17082569.33,71.5044096529,-54510.02,-166.5175807817,11742910.21,76.3464515693,0.0,0.0,0.0,0.0,0.0448,49.3333333333,0.0448,49.3333333333,-2163830.93,-302.5481395511,-1103553.77,-302.5481369774,-1060277.16,-302.5481422298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1103553.77,-302.5481369774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1103553.77,-302.5481369774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14864228.38,33.7832639102,15979015.56,52.1048883447,-1114787.18,-284.1352752439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
603291.SH,603291,联合水务,10000156123,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-02-16 00:00:00,2024-04-29 00:00:00,CNY,1156980071.72,11.1780320026,1156980071.72,11.1780320026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,987904036.09,11.8432516437,788097141.94,14.6155081145,0.0,0.0,0.0,0.0,1311954.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10334101.54,9.7121341982,32658881.18,18.0752624859,101244243.94,0.8069842105,0.0,0.0,54257713.11,-6.7419022725,53571321.44,-6.8499975436,1749571.74,33.9558691431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282772.97,9.953620256,0.0,0.0,0.0,0.0,0.0,0.0,420160.94,1175.2441536518,-539172.62,28.0396724406,-12422475.7,-34.4212105838,23039564.28,-35.1837000039,0.0,0.0,0.0,0.0,179856885.5,-1.8287330491,1812078.33,-73.2456428478,0.0,0.0,2904250.47,28.9644463696,0.0,0.0,0.0,0.0,0,0.0,178764713.36,-4.7747662532,48176178.71,4.5770031284,0.0,0.0,0.0,0.0,0.0,0.0,130588534.65,-7.8159365814,0.0,0.0,134886893.75,-1.6270493581,-4298359.1,-194.6197553581,129734793.58,-7.7288245298,853741.07,-19.3817421943,111876630.61,3.5682068203,0.0,0.0,0.0,0.0,0.3406,-7.9459459459,0.3406,-7.9459459459,-4352582.16,-1066.3091597982,-2219816.9,-1066.3091791795,-2132765.26,-1066.3091396257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2219816.9,-1066.3091791795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2219816.9,-1066.3091791795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126235952.49,-10.6531014619,127514976.68,-9.1846891314,-1279024.19,-245.9860429938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,标准无保留意见
