SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY
003039.SZ,003039,顺控发展,10185274,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-25 00:00:00,2025-04-25 00:00:00,CNY,463244402.15,,,,,,,,,,,,13057517.63,6889885.89,,0.0,483191805.67,164977233.45,,,,,,107433695.31,66400329.19,40400048.55,,0.0,379211306.5,,0.0,103980499.17,,,,,,1094659.46,,0.0,1094659.46,190529388.59,15740000.0,,7140000.0,,1282383.4,,0.0,214691771.99,,0.0,-213597112.53,2125000.0,2125000.0,398588426.9,,,,0.0,400713426.9,223453447.84,16001394.01,,,1728711.32,,,0.0,241183553.17,,0.0,159529873.73,13444.09,,0.0,49926704.46,603916066.01,,0.0,653842770.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2483004638,,,,,,,,,,,,42.8883011644,22.0874749131,,,8.1648323903,25.7713073057,,,,,,31.6623648754,5.102211069,-39.3582828736,,,10.6966308015,,,-0.1627105632,,,,,,-78.1187485544,,,-81.486058776,95.2520557924,,,-97.1679791986,,,,,-38.6065266015,,,37.8690593427,,,-56.5415972415,,,,,-56.309906857,35.0185548847,92.9650899426,,,-20.5447179828,,,,37.0622708079,,,-78.4769821983,,,,-90.0459234226,-18.6064414236,,,-47.4208819105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003039.SZ,003039,顺控发展,10185274,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-21 00:00:00,2025-04-21 00:00:00,CNY,1666125704.3,,,,,,,,,,,,41730772.78,30073138.56,,0.0,1737929615.64,517784224.21,,,,,,305485536.04,336637714.3,85120107.66,,0.0,1245027582.21,,0.0,492902033.43,,1458000.0,1597356.2,,,116357911.35,,0.0,119413267.55,530629051.53,,,510616659.37,,240000000.0,,0.0,1281245710.9,,0.0,-1161832443.35,28280000.0,28280000.0,1727819547.47,,,,0.0,1756099547.47,437266441.23,384797467.4,44646440.04,,403166441.32,,,0.0,1225230349.95,,0.0,530869197.52,6935.09,,0.0,-138054277.31,741970343.32,,0.0,603916066.01,393677175.37,51425720.26,172527579.94,172527579.94,,161491581.9,5020904.72,,,,-14337867.97,104689.39,,55262305.42,-548579.25,-27743390.41,-14922828.53,-12820561.88,,3794675.63,-344085876.09,39049164.39,-10570757.65,,0.0,492902033.43,,,,,603916066.01,741970343.32,,,,,-138054277.31,14.1239463809,,,,,,,,,,,,444.694604743,-38.1982528404,,,14.6203722257,20.1204810831,,,,,,20.7616113154,50.5804506209,84.7738702714,,,30.5543361597,,,-12.3887641921,,203.75,366.8618378412,,,67.1418435657,,,69.5286146198,76.9702416057,,,583.8180746397,,,,,235.5695620017,,,-273.1310378827,4861.4035087719,4861.4035087719,708.4596752347,,,,,719.5064154269,25.3890569519,261.818724657,170.0206285054,,268.5252923943,,,,117.0552383025,,,251.5941333873,,,,-39.5000983608,-11.7682933602,,,-18.6064414236,14.8941085812,207.8962274886,4.3549574544,4.3549574544,,136.246856191,-5.7016718964,,,,-4.9572534444,255.8450153195,,113.9589232754,49.5563021146,-355.3547392218,-226.4261190672,-742.8374793269,,-36.3852675568,-195.8796788765,-38.8061361229,-592.1928696148,,,-12.3887641921,,,,,-18.6064414236,-11.7682933602,,,,,-39.5000983608,标准无保留意见,,,
003039.SZ,003039,顺控发展,10185274,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-25 00:00:00,2024-10-25 00:00:00,CNY,1152635456.21,,,,,,,,,,,,28118778.38,20748732.73,,0.0,1201502967.32,363921461.08,,,,,,229788097.01,233283904.1,37435213.62,,0.0,864428675.81,,0.0,337074291.51,,1458000.0,1031488.7,,,108355103.86,,0.0,110844592.56,209988298.87,,,252116792.24,,,,0.0,462105091.11,,0.0,-351260498.55,2280000.0,2280000.0,1149479485.69,,,,0.0,1151759485.69,407970800.15,350393159.75,44646440.04,,397945829.49,,,0.0,1156309789.39,,0.0,-4550303.7,-1837.33,,0.0,-18738348.07,741970343.32,,0.0,723231995.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7664708309,,,,,,,,,,,,1369.8002632907,-64.1231115228,,,4.5204075157,-2.5106867303,,,,,,29.9905828518,52.4241181067,-13.0910326388,,,15.8456782755,,,-16.431165599,,203.75,1144.2565741858,,,175.9434766843,,,178.2939712688,-3.3704245424,,,351.4737514077,,,,,68.1876110256,,,-49.5198337108,,,437.8500394041,,,,,438.9168684385,36.7974383326,254.7210970993,170.0206285054,,5904.8189179102,,,,186.4727896692,,,97.604086916,,,,12.8278901628,-11.7682933602,,,-11.7404976211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003039.SZ,003039,顺控发展,10185274,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-27 00:00:00,2024-08-27 00:00:00,CNY,739993536.93,,,,,,,,,,,,19572857.0,23441126.14,,0.0,783007520.07,239888274.94,,,,,,156265309.85,134339139.34,23051495.27,,0.0,553544219.4,,0.0,229463300.67,,228000.0,1028350.99,,,101026720.58,,0.0,102283071.57,150505938.02,0.0,,252116792.24,,0.0,,0.0,402622730.26,,0.0,-300339658.69,0.0,0.0,1119058722.64,,,,0.0,1119058722.64,210906717.97,349566673.77,44646440.04,,395813907.65,,,0.0,956287299.39,,0.0,162771423.25,-572.31,,0.0,91894492.92,741970343.32,,0.0,833864836.24,177292509.78,25032236.25,85039952.16,85039952.16,,83058288.7,2774580.86,,,,-6975218.41,7165.85,,26760716.36,-576488.26,-11607902.34,-4891334.74,-6716567.6,,-7822874.54,-152737244.23,3983747.78,1527712.81,,0.0,229463300.67,,,,,833864836.24,741970343.32,,,,,91894492.92,8.0261621657,,,,,,,,,,,,1609.1717043487,-54.7333973449,,,6.106772127,7.5057399415,,,,,,27.0831331399,40.8049569181,-14.3571604661,,,18.1709019792,,,-14.8610307154,,-24.0,1275.1261862767,,,342.3053686094,,,340.5766643591,14.1958417152,-100.0,,2459.5755644234,,,,,181.0702797032,,,-150.219331348,,,492.6170441892,,,,,492.6170441892,-11.2851876698,256.8667497088,170.0206285054,,9216.3156835109,,,,181.3117412871,,,207.7205473851,,,,5773.7482428772,-11.7682933602,,,-0.6492721114,33.3753291787,52.1661295145,5.7641271935,5.7641271935,,158.9996812735,10.1587717824,,,,-4.0698880211,35.1626380466,,100.3056051769,30.0520971427,-39.4770508858,40.9846097925,-19533.2310246652,,-548.2259036965,-271.2106532022,-91.4062522295,,,,-14.8610307154,,,,,-0.6492721114,-11.7682933602,,,,,5773.7482428772,,,,
003039.SZ,003039,顺控发展,10185274,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-26 00:00:00,2025-04-25 00:00:00,CNY,431936357.17,,,,,,,,,,,,9138269.21,5643401.09,,0.0,446718027.47,131172392.96,,,,,,81597877.58,63176909.9,66620884.87,,0.0,342568065.31,,0.0,104149962.16,,,909894.68,,,5002727.85,,0.0,5912622.53,97581245.85,,,252116792.24,,,,0.0,349698038.09,,0.0,-343785415.56,,,917172287.98,,,,0.0,917172287.98,165498325.79,8292377.66,,,2175703.46,,,0.0,175966406.91,,0.0,741205881.07,,,0.0,501570427.67,741970343.32,,0.0,1243540770.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1011701404,,,,,,,,,,,,1513.5898776192,-89.6742076179,,,22.8857837731,43.5640627118,,,,,,22.0491501328,21.2812052298,1846.0073802942,,,60.2733782643,,,-30.4661501416,,,1184.6535594246,,,-64.7693788292,,,-58.568301286,-5.8919038844,,,2459.5755644234,,,,,203.7140818505,,,-240.8210524071,,,537.2704164072,,,,,537.2704164072,8.3281464834,73.9257452355,,,3.0493932761,,,,10.2172872603,,,4811.4247616121,,,,1411.6083771561,-11.7682933602,,,42.2628087587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003039.SZ,003039,顺控发展,10185274,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-19 00:00:00,2025-04-21 00:00:00,CNY,1459926472.17,,,,,,,,,,,,7661315.61,48660660.81,,0.0,1516248448.59,431054071.33,,,,,,252965766.78,223560039.11,46067177.97,,0.0,953647055.19,,0.0,562601393.4,,480000.0,342147.52,,,69616266.56,,0.0,70438414.08,299840835.79,7300000.0,,74671418.95,,,,0.0,381812254.74,,0.0,-311373840.66,570000.0,570000.0,213717467.97,,,,0.0,214287467.97,348727753.33,106350899.27,16534455.27,,109399937.98,,,0.0,564478590.58,,0.0,-350191122.61,,,0.0,-98963569.87,840933913.19,,0.0,741970343.32,342643482.97,16702289.82,165327631.91,165327631.91,,68357134.78,5324489.65,,,,-13660673.75,29419.94,,25828464.91,-1087508.0,-6092698.29,-4571579.19,-1521119.1,,5965089.35,-116292500.18,63812222.2,-1527140.5,,0.0,562601393.4,,,,,741970343.32,840933913.19,,,,,-98963569.87,0.5119841954,,,,,,,,,,,,213.2004862817,165.191153733,,,2.9161410924,21.2690014926,,,,,,8.4460154607,5.4587486309,-23.8522903626,,,10.7343819313,,,-8.0841422469,,60.0,-78.1659066562,,,-55.9940948233,,,-55.9937558332,-19.3354732208,-7.0353838611,,,,,,,0.5918416532,,,-41.8551646959,,,-38.9514415087,,,,,-38.788620572,4.0978368149,-8.5168931462,-2.0109436752,,1296.4899547191,,,,22.9570805284,,,-221.2525406696,,,,-134.8987032097,50.8780148594,,,-11.7682933602,3.6989166265,583.7461442645,10.0757495333,10.0757495333,,7.0448689316,-11.2915773682,,,,-25.8614673914,-98.5442323387,,-10.4927153492,-68.3380200099,-2103.0128837289,-333.16104502,8.1737757267,,137.8535480487,-516.6385146324,141.1667428613,,,,-8.0841422469,,,,,-11.7682933602,50.8780148594,,,,,-134.8987032097,标准无保留意见,,,
003039.SZ,003039,顺控发展,10185274,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-24 00:00:00,2024-10-25 00:00:00,CNY,1089792868.34,,,,,,,,,,,,1913102.01,57833144.43,,0.0,1149539114.78,373293696.38,,,,,,176772879.98,153049207.04,43074051.8,,0.0,746189835.2,,0.0,403349279.58,,480000.0,82900.0,,,39267137.3,,0.0,39830037.3,217312658.03,1600000.0,,55843067.61,,,,0.0,274755725.64,,0.0,-234925688.34,,,213717467.97,,,,0.0,213717467.97,298229853.66,98779904.16,16534455.27,,6627107.91,,,0.0,403636865.73,,0.0,-189919397.76,,,0.0,-21495806.52,840933913.19,,0.0,819438106.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8422825771,,,,,,,,,,,,5.8463841107,164.2727231815,,,7.1171548479,46.1853299629,,,,,,4.1317491433,5.553028407,31.9654030278,,,23.7969082293,,,-14.2553294105,,60.0,-48.2626065274,,,-45.8150811454,,,-45.3851786881,-31.4239387023,-75.9487106254,,,,,,,-51.2451422606,,,52.1162123484,,,-37.0370319676,,,,,-37.0370319676,6.1316205196,-11.080461412,-2.0109436752,,14.147807284,,,,1.4431082753,,,-224.8639280193,,,,72.6760334327,50.8780148594,,,71.1834657418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003039.SZ,003039,顺控发展,10185274,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-24 00:00:00,2024-08-27 00:00:00,CNY,685013261.69,,,,,,,,,,,,1145166.22,51784593.42,,0.0,737943021.33,223139969.15,,,,,,122963060.47,95407961.68,26915846.55,,0.0,468426837.85,,0.0,269516183.48,,300000.0,74782.3,,,22840943.78,,0.0,23215726.08,131796338.43,1600000.0,,9849945.27,,0.0,,0.0,143246283.7,,0.0,-120030557.62,0.0,0.0,188833367.79,,,,0.0,188833367.79,237735629.97,97954397.28,16534455.27,,4248609.87,,,0.0,339938637.12,,0.0,-151105269.33,,,0.0,-1619643.47,840933913.19,,0.0,839314269.72,132927514.31,16450596.68,80405289.03,80405289.03,,32068876.8,2518710.78,,,,-6702436.74,5301.65,,13359943.84,-824168.04,-8322446.07,-8288235.87,-34210.2,,-1206813.01,-41145706.06,46356349.83,,,0.0,269516183.48,,,,,839314269.72,840933913.19,,,,,-1619643.47,6.5583747896,,,,,,,,,,,,-0.0240509838,243.5790342594,,,11.9672992395,35.583884481,,,,,,7.5693800132,-4.6930351297,10.5607497431,,,16.1374427321,,,5.3901786852,,0.0,-25.0381213234,,,-68.2958327186,,,-67.9534407031,-23.612740634,,,,,-100.0,,,-49.388147989,,,43.0014786845,,,5.8123395741,,,,,5.8123395741,2.9158571299,-7.6761398642,-2.0109436752,,10.9839104659,,,,-0.2898494856,,,6.9927860106,,,,98.619462657,50.8780148594,,,90.7357509505,-13.110693901,74.7158568977,9.0437501166,9.0437501166,,-0.6626957071,-9.7346626518,,,,-23.944547021,-18.3084636909,,30.903791984,-133.5533047572,-157.8156270609,-156.7558515946,,,85.7750713871,-107.921414353,466.9233805164,,,,5.3901786852,,,,,90.7357509505,50.8780148594,,,,,98.619462657,,,,
003039.SZ,003039,顺控发展,10185274,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-25 00:00:00,2024-04-26 00:00:00,CNY,308303176.01,,,,,,,,,,,,566331.59,54653443.35,,0.0,363522950.95,91368543.41,,,,,,66856571.71,52091261.61,3423465.17,,0.0,213739841.9,,0.0,149783109.05,,,70828.02,,,14199942.22,,0.0,14270770.24,103690596.11,1600000.0,,9849945.27,,,,0.0,115140541.38,,0.0,-100869771.14,,,143921993.61,,,,0.0,143921993.61,152775000.0,4767768.94,,,2111320.98,,,0.0,159654089.92,,0.0,-15732096.31,,,0.0,33181241.6,840933913.19,,0.0,874115154.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4468492668,,,,,,,,,,,,4.8184382358,1215.0731324926,,,22.3678027954,9.5629956891,,,,,,9.4283363451,-0.1062658343,-80.1243212868,,,-0.0566060509,,,79.9993910191,,,-36.3858100555,,,-78.2868152605,,,-78.2155998909,-11.8633214142,,,,,,,,-2.1309041658,,,-93.4655239786,,,4.6705408073,,,,,4.6705408073,2.1906354515,-12.3669435797,,,8.9915993829,,,,1.7697496302,,,18.8135924626,,,,183.6730173079,50.8780148594,,,53.6076239608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003039.SZ,003039,顺控发展,10185274,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-19 00:00:00,2024-04-19 00:00:00,CNY,1452489953.17,,,,,,,,,,,,2446137.84,18349277.54,,0.0,1473285368.55,355452808.24,,,,,,233264233.55,211988139.45,60497128.79,,0.0,861202310.03,,0.0,612083058.52,,300000.0,1567033.33,,,158197556.17,,0.0,160064589.5,371713376.08,7852450.0,,0.0,,,,0.0,379565826.08,,0.0,-219501236.58,0.0,0.0,350077828.62,,,,0.0,350077828.62,335000000.0,116251953.97,16873777.43,,7833922.3,,,0.0,459085876.27,,0.0,-109008047.65,,,0.0,283573774.29,557360138.9,,0.0,840933913.19,330421468.34,-3452697.25,150194418.49,150194418.49,,63858394.58,6002236.87,,,,-10853737.87,2020922.76,,28856271.32,-646026.37,304176.69,1960695.96,-1656519.27,,-15758336.16,27912085.92,26459793.52,,,0.0,612083058.52,,,,,840933913.19,557360138.9,,,,,283573774.29,2.3798172757,,,,,,,,,,,,-0.6823586058,-34.2668287373,,,1.6686709209,14.2776127134,,,,,,-0.8503122545,-15.5639115832,83.872024394,,,3.7251772834,,,-1.0905006231,,25.0,79.42648637,,,623.6971858615,,,596.7512030636,-23.3554308402,,,,,,,,-49.3461966832,,,69.7806683879,-100.0,,100.0444734971,,,,,-34.9684521066,-19.0821256039,-10.3215147904,-31.7984498666,,-84.4465012605,,,,-22.7127532473,,,-95.7776283884,,,,273.7494628708,-22.6499515436,,,50.8780148594,-9.9899139091,-126.3386279421,5.2821997802,5.2821997802,,3.5291509095,24.63922775,,,,-60.3224217898,-14.4560320809,,-13.1186098915,-478.2124049065,118.9926055783,222.4246507097,,,-122.6646136574,410.673926885,122.3871197015,,,,-1.0905006231,,,,,50.8780148594,-22.6499515436,,,,,273.7494628708,标准无保留意见,,,
