SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY
000598.SZ,000598,兴蓉环境,10005539,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2025-04-29 00:00:00,CNY,1750608144.63,,,,,,,,,,,,93745.66,372946005.07,,0.0,2123647895.36,819545536.26,,,,,,627091132.69,147176509.56,414822534.71,,0.0,2008635713.22,,0.0,115012182.14,4631900.0,,729830.34,,,99542886.57,,0.0,104904616.91,1297395832.0,4000000.0,,,,10904989.64,,0.0,1312300821.64,,0.0,-1207396204.73,,,1512142252.42,,,,0.0,1512142252.42,115173074.79,139710177.03,3572250.65,,11228798.14,,,0.0,266112049.96,,0.0,1246030202.46,,,0.0,153646179.87,4254099892.44,,0.0,4407746072.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9658283023,,,,,,,,,,,,-96.8826827658,6.5657593067,,,9.1888160102,12.0192683288,,,,,,2.8248946543,-6.0905891316,-3.1641181219,,,4.259515443,,,526.4736364853,110.4356912453,,161.7755882353,,,196.2431471921,,,190.7422807489,3.6907534628,,,,,162.1930288648,,,-4.0576828715,,,9.3355965457,,,-49.3402822429,,,,,-49.3411308285,143.4409138989,45.8544314148,,,-18.7977703311,,,,69.577963116,,,-55.9399091201,,,,-89.8560816297,9.8480538139,,,-18.1838053303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000598.SZ,000598,兴蓉环境,10005539,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-18 00:00:00,2025-04-18 00:00:00,CNY,8574054725.19,,,,,,,,,,,,14690285.38,1535994092.55,,0.0,10124739103.12,2495254922.57,,,,,,1436321124.6,841055107.62,1671312156.44,,0.0,6443943311.23,,0.0,3680795791.89,29059900.0,,1605409.65,,,169621713.05,,0.0,200287022.7,4594739586.45,600000.0,,148791089.97,,41673869.46,,0.0,4785804545.88,,0.0,-4585517523.18,28570000.0,28570000.0,5152406395.08,,13188904.45,,0.0,5194165299.53,2820521196.78,1053620280.71,9501164.13,,33915227.57,,,0.0,3908056705.06,,0.0,1286108594.47,,,0.0,381386863.18,3872713029.26,,0.0,4254099892.44,2054837409.34,3269204.18,848972385.26,848972385.26,,656189685.59,15829556.58,,,,-78953.38,-91288.61,,426160332.93,,-50249041.75,-62240738.17,11991696.42,,1664423.73,-968168808.24,539530332.96,,,0.0,3680795791.89,,,,,4254099892.44,3872713029.26,,,,,381386863.18,8.6138578038,,,,,,,,,,,,145.5231446621,-4.0505063468,,,6.5662173144,2.8451986663,,,,,,9.8311775556,12.4153266612,2.5433035484,,,5.4309216604,,,8.613773665,-5.6959088239,,-52.3246151058,,,44.6342617944,,,32.2386364116,3.345655493,-99.3942453306,,43.994912772,,-76.3639937315,,,-0.8059267537,,,1.8768969373,-73.5095039407,-73.5095039407,42.0730461048,,-91.1125980795,,,33.7723356793,91.7480128366,27.7945316112,148.5713888124,,-72.0053894643,,,,61.7194673935,,,-12.2873095202,,,,109.6339119123,4.9293047604,,,9.8480538139,8.750483843,237.5140729649,24.6305641699,24.6305641699,,6.6171920839,-16.2564886811,,,,34.9055746639,-113.1944963269,,38.1470155803,,-22.8975876834,17.553637257,-65.3474036978,,-10.6829680483,-155.5102164879,207.5686333183,,,,8.613773665,,,,,9.8480538139,4.9293047604,,,,,109.6339119123,标准无保留意见,,,
000598.SZ,000598,兴蓉环境,10005539,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-25 00:00:00,2024-10-25 00:00:00,CNY,5838383792.85,,,,,,,,,,,,12702721.49,1110640582.75,,0.0,6961727097.09,1955616922.9,,,,,,1134369083.61,534094465.39,1190672879.99,,0.0,4814753351.89,,0.0,2146973745.2,26773600.0,,278800.0,,,131980703.11,,0.0,159033103.11,3416595598.73,600000.0,,148791089.97,,10940293.16,,0.0,3576926981.86,,0.0,-3417893878.75,13570000.0,13570000.0,4794399171.96,,,,0.0,4807969171.96,1996237188.47,915426902.89,4102763.73,,30168664.1,,,0.0,2941832755.46,,0.0,1866136416.5,,,0.0,595216282.95,3872713029.26,,0.0,4467929312.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.368125426,,,,,,,,,,,,125.864881696,-2.9273807851,,,7.3008581391,3.5313948671,,,,,,8.6796522016,-1.197549622,-1.0290607914,,,2.960608215,,,18.5035477067,14.2928789045,,-91.3197292485,,,51.1059195858,,,39.5266070966,17.7228856052,,,44.1637870487,,-93.6330006879,,,12.5785031945,,,-11.57580515,-86.5376984127,-86.5376984127,52.1180641266,,,,,45.6535801723,50.4852416202,28.0795566995,88.235947156,,-58.9232706826,,,,39.11274127,,,57.3138353515,,,,1011.4485364404,4.9293047604,,,23.2369499681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000598.SZ,000598,兴蓉环境,10005539,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-28 00:00:00,2024-08-28 00:00:00,CNY,3683957400.66,,,,,,,,,,,,3545281.62,711144158.84,,0.0,4398646841.12,1391919645.55,,,,,,868257232.28,364609435.06,796615986.87,,0.0,3421402299.76,,0.0,977244541.36,16773600.0,,278800.0,,,103405423.01,,0.0,120457823.01,2554417757.73,,,148791089.97,,8801819.01,,0.0,2712010666.71,,0.0,-2591552843.7,8140000.0,8140000.0,3736750590.08,,,,0.0,3744890590.08,1773585601.24,773803628.79,4102763.73,,21648734.66,,,0.0,2569037964.69,,0.0,1175852625.39,,,0.0,-438455676.95,3872713029.26,,0.0,3434257352.31,955575358.97,-1865466.51,413032362.69,413032362.69,,321429186.94,9805087.52,,,,-78953.38,-98340.13,,196827477.4,,-707287.14,-23089174.03,22381886.89,,-18134173.83,-581306183.7,-429019980.31,,,0.0,977244541.36,,,,,3434257352.31,3872713029.26,,,,,-438455676.95,10.9384950996,,,,,,,,,,,,-26.7956652543,-9.732987078,,,6.9349294608,11.218238143,,,,,,8.4579346421,-6.6913945359,0.6030086822,,,5.7729668789,,,11.212241565,295.6970983723,,-20.1888215685,,,173.8527345734,,,184.4486694302,43.6425870866,,,56.5043502817,,-94.2544930586,,,33.8219449849,,,-30.6072458162,1.75,1.75,64.1183854081,,,,,60.5689748177,51.0186731423,34.5419548539,94.7206326531,,-65.614712848,,,,41.7389821623,,,126.2344748593,,,,25.1480362694,4.9293047604,,,10.603413205,9.9036799127,31.1701268575,18.9388723934,18.9388723934,,12.5473672447,9.1099601643,,,,-361.489755472,66.8117466822,,49.2019120151,,93.8253723506,-21.5231589303,196.6421249888,,65.0104952603,-39.3922528648,-27.390742802,,,,11.212241565,,,,,10.603413205,4.9293047604,,,,,25.1480362694,,,,
000598.SZ,000598,兴蓉环境,10005539,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-26 00:00:00,2025-04-29 00:00:00,CNY,1591956493.81,,,,,,,,,,,,3007254.41,349967951.71,,0.0,1944931699.93,731611220.54,,,,,,609863141.41,156721789.86,428376885.37,,0.0,1926573037.18,,0.0,18358662.75,2201100.0,,278800.0,,,33601751.64,,0.0,36081651.64,1251216515.14,,,112426223.75,,4159145.53,,0.0,1367801884.42,,0.0,-1331720232.78,50000.0,50000.0,2984900665.4,,,,0.0,2984950665.4,47310484.07,95787406.44,,,13828189.43,,,0.0,156926079.94,,0.0,2828024585.46,,,0.0,1514663015.43,3872713029.26,,0.0,5387376044.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5143914759,,,,,,,,,,,,23766.2650669342,-8.9860579698,,,8.8401951509,9.988256937,,,,,,8.8669727239,-30.2911614958,5.1794313256,,,3.7203515515,,,126.0377752422,3.8499646143,,-16.8188273483,,,63.233112881,,,56.6057235106,48.4440790595,,,17.4196756492,,-97.2035726515,,,25.7904454835,,,-25.1233771433,-99.375,-99.375,559.6370472324,,,,,492.3619819272,-40.0290480322,24.7017255683,,,128.0882566479,,,,-2.991245818,,,726.5654060506,,,,291.0784209553,4.9197538775,,,85.8723924398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000598.SZ,000598,兴蓉环境,10005539,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-19 00:00:00,2025-04-18 00:00:00,CNY,7894070700.15,,,,,,,,,,,,5983258.89,1600836058.71,,0.0,9500890017.75,2426224028.86,,,,,,1307753551.01,748167649.91,1629859872.47,,0.0,6112005102.25,,0.0,3388884915.5,30815100.0,,3367376.38,,,117276301.58,,0.0,151458777.96,4445992010.53,99050000.0,,103330796.28,,176315190.42,,0.0,4824687997.23,,0.0,-4673229219.27,107850000.0,107850000.0,3626589656.76,,148400000.0,,0.0,3882839656.76,1470951982.79,824464292.35,3822308.02,,121149131.64,,,0.0,2416565406.78,,0.0,1466274249.98,,,0.0,181929946.21,3690783083.05,,0.0,3872713029.26,1889497257.14,-2377359.72,681191159.58,681191159.58,,615463297.02,18902427.58,,,,-121290.54,691868.85,,308483198.96,,-40886922.76,-75492400.27,34605477.51,,1863500.94,-378915888.98,175417865.97,,,0.0,3388884915.5,,,,,3872713029.26,3690783083.05,,,,,181929946.21,8.5326096259,,,,,,,,,,,,-79.4611565244,8.9220637109,,,8.3056449936,8.1200692217,,,,,,13.2721851108,20.7963403286,13.2418832523,,,11.9995791128,,,2.2249060019,-6.2861288382,,-36.6270698502,,,-39.8296894874,,,-35.0249434088,5.940754219,4865.907951469,,,,18.8784256914,,,10.9892219856,,,-13.5964991141,4080.2325581395,4080.2325581395,-8.0363192548,,-63.1771106538,,,-10.7206880685,-30.7898277715,7.0794078078,-73.5095431423,,-17.8364456908,,,,-20.5794422993,,,12.2423406513,,,,-64.1579775239,15.9458796401,,,4.9293047604,11.6529803158,-112.478022105,3.2273662742,3.2273662742,,12.4118375793,25.204334671,,,,99.2549315036,197.1023295864,,6.3300364519,,-69.9602317081,-296.7870977399,787.8671255758,,106.9672769309,63.7429649323,-84.5238498641,,,,2.2249060019,,,,,4.9293047604,15.9458796401,,,,,-64.1579775239,标准无保留意见,,,
000598.SZ,000598,兴蓉环境,10005539,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-27 00:00:00,2024-10-25 00:00:00,CNY,5338286424.96,,,,,,,,,,,,5624035.66,1144133733.83,,0.0,6488044194.45,1888911982.12,,,,,,1043773200.07,540568035.86,1203053026.99,,0.0,4676306245.04,,0.0,1811737949.41,23425431.45,,3211881.38,,,87343171.91,,0.0,113980484.74,2902235687.79,,,103209754.0,,171828087.67,,0.0,3177273529.46,,0.0,-3063293044.72,100800000.0,100800000.0,3151761889.35,,48400000.0,,0.0,3300961889.35,1326533530.45,714733035.06,2179585.67,,73444659.79,,,0.0,2114711225.3,,0.0,1186250664.05,,,0.0,-65304431.26,3690783083.05,,0.0,3625478651.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7383721775,,,,,,,,,,,,-80.1510557478,5.1385251442,,,10.0781064383,20.4122930669,,,,,,16.3949868492,22.2080641664,19.3950012523,,,19.4332800524,,,-8.4344417804,-12.4155549048,,222.4657634782,,,5.0836045771,,,2.8148539853,-0.2218074688,,,,,871.2430222184,,,8.5735510136,,,-8.8002974158,3806.976744186,3806.976744186,-13.1896021124,,-5.9823580945,,,-10.4140457889,39.4825713092,12.2700183714,,,-36.6059221632,,,,24.1382695795,,,-40.1238567527,,,,-105.707037659,15.9458796401,,,-16.2218202955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000598.SZ,000598,兴蓉环境,10005539,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-24 00:00:00,2024-08-28 00:00:00,CNY,3320720546.42,,,,,,,,,,,,4842994.11,787822855.57,,0.0,4113386396.1,1251521035.39,,,,,,800547452.01,390756493.73,791841116.19,,0.0,3234666097.32,,0.0,878720298.78,4239000.0,,349324.5,,,37759499.89,,0.0,42347824.39,1778315059.3,,,95071536.16,,153194819.88,,0.0,2026581415.34,,0.0,-1984233590.95,8000000.0,8000000.0,2276862876.02,,47400000.0,,0.0,2332262876.02,1174414768.94,575139278.77,2107000.0,,62959295.83,,,0.0,1812513343.54,,0.0,519749532.48,,,0.0,-585763759.69,3690783083.05,,0.0,3105019323.36,869466208.71,-2710257.08,347264400.93,347264400.93,,285594585.47,8986427.55,,,,30193.68,-296310.05,,131920211.17,,-11454733.47,-18999813.89,7545080.42,,-51827466.45,-417029046.99,-336774847.9,,,0.0,878720298.78,,,,,3105019323.36,3690783083.05,,,,,-585763759.69,2.5734295435,,,,,,,,,,,,-82.8409156542,17.1314449214,,,4.4476066133,12.6473626446,,,,,,19.5915278317,35.2200363301,26.7602332318,,,20.0664227708,,,-29.3727212059,-71.0185737414,,124703.3226152197,,,-40.3570295024,,,-45.6634102436,-7.7467825549,,,,,777.5044142184,,,4.1888686428,,,-6.2697171759,1566.6666666667,1566.6666666667,-10.9147448385,,-7.9248713571,,,-10.5653459777,204.2444229203,182.9985899426,,,-36.0490789304,,,,163.5654175325,,,-72.9310397515,,,,-145.1597590543,15.9458796401,,,-30.6959726616,1.5720058671,,12.9290519773,12.9290519773,,8.9945953277,31.648420423,,,,177.5253892373,-192.3602665085,,-3.9587891222,,2.7885094047,-101.0734154381,423.2516296164,,13.56002365,-184.6627560063,-98.2797115401,,,,-29.3727212059,,,,,-30.6959726616,15.9458796401,,,,,-145.1597590543,,,,
000598.SZ,000598,兴蓉环境,10005539,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-28 00:00:00,2024-04-26 00:00:00,CNY,1402427016.62,,,,,,,,,,,,12600.44,384521254.55,,0.0,1786960871.61,665172120.11,,,,,,560191145.35,224823412.96,407281994.18,,0.0,1857468672.6,,0.0,-70507800.99,2119500.0,,335172.0,,,20585131.93,,0.0,23039803.93,842887451.67,,,95747346.54,,148730684.25,,0.0,1087365482.46,,0.0,-1064325678.53,8000000.0,8000000.0,452506522.78,,43400000.0,,0.0,503906522.78,78888999.62,76813216.5,2107000.0,,6062648.57,,,0.0,161764864.69,,0.0,342141658.09,,,0.0,-792691821.43,3691119056.36,,0.0,2898427234.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7374968727,,,,,,,,,,,,-99.3530246415,36.8702733082,,,22.8880356959,5.9841785237,,,,,,21.6053078405,62.2963254726,32.7174521985,,,21.1116074627,,,11.3622927287,-85.0049877252,,,,,-33.5096526426,,,-48.9074796165,-11.8006530781,,,,,1814.4570889708,,,12.8639137192,,,-15.8971559078,,,-27.2484050941,,,,,-18.9845861436,71.7335163334,3.8187407471,,,-92.6989892813,,,,-20.2984126604,,,-18.3482083541,,,,-36.940851103,15.9564342352,,,11.2923006732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000598.SZ,000598,兴蓉环境,10005539,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-26 00:00:00,2024-04-19 00:00:00,CNY,7273455164.64,,,,,,,,,,,,29131430.39,1469707793.05,,0.0,8772294388.08,2244008948.87,,,,,,1154523107.09,619362844.83,1439273019.54,,0.0,5457167920.33,,0.0,3315126467.75,32882111.92,,5313587.95,,,194907256.72,,0.0,233102956.59,4196677702.84,1994600.0,,,,148315549.6,,0.0,4346987852.44,,0.0,-4113884895.85,2580000.0,2580000.0,3943502073.18,,403010200.0,,0.0,4349092273.18,2125340734.5,769955969.34,14429000.0,,147448747.39,,,0.0,3042745451.23,,0.0,1306346821.95,,,0.0,507588393.85,3183194689.2,,0.0,3690783083.05,1692294510.9,19052376.25,659893964.33,659893964.33,,547507549.27,15097262.91,,,,-16279112.67,232872.24,,290118586.67,,-24056758.66,-19025921.13,-5030837.53,,-26746474.39,-1045082390.97,1133472242.32,,,0.0,3315126467.75,,,,,3690783083.05,3183194689.2,,,,,507588393.85,18.0825734807,,,,,,,,,,,,79.6201888166,11.6911472222,,,17.0931835446,10.7975661372,,,,,,16.4955886893,13.612754276,19.9362013522,,,14.6090030646,,,21.4257209143,96.0349373562,,-86.2336126835,,,207.387193371,,,96.2482974147,10.8364056624,,,,,489.1037258034,,,14.0478426365,,,-11.4038266466,-94.1064000384,-94.1064000384,5.5990852465,,,,,15.1106038567,-6.0461369617,8.1597260016,-70.308928791,,404.9260207974,,,,1.3173676645,,,68.5602024852,,,,370.5743022606,-5.5653600156,,,15.9458796401,12.0123364836,358749.7944169559,12.5101000168,12.5101000168,,23.3499760239,-14.8048554211,,,,-50399.3524997301,11038.9613557765,,29.3996840133,,17.0937030773,34.4313717104,,,-113.6531117344,-14.761797212,103.2051871966,,,,21.4257209143,,,,,15.9458796401,-5.5653600156,,,,,370.5743022606,标准无保留意见,,,
