SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY
600168.SH,600168,武汉控股,10002382,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-25 00:00:00,2025-04-25 00:00:00,CNY,656373489.29,,,,,,,,,,,,,27147540.0,,0.0,683521029.29,467244613.98,,,,,,85375535.34,36078643.38,22438707.19,,0.0,611137499.89,,0.0,72383529.4,,,210202000.0,,,,,0.0,210202000.0,603856638.87,,,,,,,0.0,603856638.87,,0.0,-393654638.87,,,2277564330.8,,,,0.0,2277564330.8,2241001683.51,172667015.0,,,132970.8,,,0.0,2413801669.31,,0.0,-136237338.51,-794.23,,0.0,-457509242.21,1588819474.52,,0.0,1131310232.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.7072560309,,,,,,,,,,,,,1.2444400382,,,149.6035477617,-15.7077141591,,,,,,3.6310971389,-32.742218167,19.9990051595,,,-13.8077903667,,,116.6323356141,,,-16.0870259481,,,,,,-16.0870259481,-11.6775003591,,,,,,,,-11.6775003591,,,9.1276422136,,,95.1735173604,,,,,95.1735173604,263.6255329967,16.6829508051,,,-84.8367033273,,,,215.467613562,,,-133.9073503691,-182.9682325781,,,1.9480608825,13.5818782286,,,21.3548838459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600168.SH,600168,武汉控股,10002382,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-28 00:00:00,2025-03-28 00:00:00,CNY,2314631248.32,,,,,,,,,,,,2715634.45,94305336.64,,0.0,2411652219.41,1906927787.98,,,,,,320272118.11,108223406.01,63233102.13,,0.0,2398656414.23,,0.0,12995805.18,55981250.0,,301108416.29,,,,,0.0,357089666.29,1449379290.01,,,,,,,0.0,1449379290.01,,0.0,-1092289623.72,,,7464269505.05,,,,0.0,7464269505.05,5650159374.85,537224874.96,,,7612029.01,,,0.0,6194996278.82,,0.0,1269273226.23,8229.13,,0.0,189987636.82,1398831837.7,,0.0,1588819474.52,84629516.45,12499921.15,735656523.9,735656523.9,,61900467.62,917808.73,,,,-686813.02,12387559.07,-4476.0,524314513.84,-42266122.05,-14027945.03,-12574746.49,-1453198.54,,-21639617.42,-1695454727.72,330637804.65,,,0.0,12995805.18,,,,,1588819474.52,1398831837.7,,,,,189987636.82,-24.2238118086,,,,,,,,,,,,103.1874168997,34.0326555729,,,-22.858214712,8.4036048948,,,,,,-2.8258767926,-23.9904395279,3.1662492725,,,4.6370079194,,,-98.4415626592,,,408311.8503265983,,,,,,1160.7213754396,-25.3640961833,,,,,,,,-25.3640961833,,,42.9199108387,,,27.7978308743,,,,,27.7449454257,38.084225117,16.1509783114,,,7.8168005719,,,,35.8133626077,,,-0.9695160385,18.7476641178,,,-5.9454893809,16.8776363158,,,13.5818782286,-41.7579702184,55.5394354989,5.7300424013,5.7300424013,,0.1591497936,-19.4710223029,,,,99.8514158412,-59.339007842,99.4620224638,10.5605049344,9.4823497601,43.5935014529,44.7058707039,31.7048001028,,-75.4485670215,-94.8575147937,-51.6193615192,,,,-98.4415626592,,,,,13.5818782286,16.8776363158,,,,,-5.9454893809,标准无保留意见,,,
600168.SH,600168,武汉控股,10002382,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-28 00:00:00,2024-10-28 00:00:00,CNY,1138083829.33,,,,,,,,,,,,2715634.45,71780269.09,,0.0,1212579732.87,1133156074.24,,,,,,229000622.42,88931984.36,50225894.42,,0.0,1501314575.44,,0.0,-288734842.57,55981250.0,,280873006.29,,,,,0.0,336854256.29,1272672051.55,,,,,,,0.0,1272672051.55,,0.0,-935817795.26,,,5447249709.39,,,,0.0,5447249709.39,4010172811.23,421558972.75,,,1753850.8,,,0.0,4433485634.78,,0.0,1013764074.61,-5862.92,,0.0,-210794426.14,1398831837.7,,0.0,1188037411.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.860437573,,,,,,,,,,,,1803.5475589254,17.6450748639,,,-22.0652413505,-17.6517133913,,,,,,-2.8909169216,-33.6251180533,-13.6308027871,,,-16.778934712,,,-16.3703975649,,,269136.6004198539,,,,,,322798.5796763866,91.3008109725,,,,,,,,91.3008109725,,,-40.688860142,,,31.94951249,,,,,31.8722728406,21.5281769658,22.5802550529,,,48.1934492923,,,,21.6361017123,,,108.6686295907,-135.0142555293,,,50.6848854692,16.8776363158,,,54.4127766472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600168.SH,600168,武汉控股,10002382,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-26 00:00:00,2024-08-26 00:00:00,CNY,863857912.89,,,,,,,,,,,,,46514914.8,,0.0,910372827.69,823765200.32,,,,,,152393289.42,78235226.0,34981664.91,,0.0,1089375380.65,,0.0,-179002552.96,55981250.0,,250873006.29,,,,,0.0,306854256.29,916434758.85,,,,,,,0.0,916434758.85,,0.0,-609580502.56,,,4062803323.87,,,,0.0,4062803323.87,3123226410.57,307291452.44,,,1646862.8,,,0.0,3432164725.81,,0.0,630638598.06,3432.55,,0.0,-157941024.91,1398831837.7,,0.0,1240890812.79,80767763.48,4906723.12,366014486.68,366014486.68,,30911634.74,517422.43,,,,,-549115.78,219087.0,255000170.62,-24949735.53,-13163616.08,-12423315.37,-740300.71,,-48633820.91,-804924092.95,-63004997.49,,,0.0,-179002552.96,,,,,1240890812.79,1398831837.7,,,,,-157941024.91,-15.8487294021,,,,,,,,,,,,,-9.3127786693,,,-15.537702102,-13.3661535684,,,,,,-3.505245901,15.0827534492,-2.6939410973,,,-10.1708576599,,,-32.7182226241,,,433846.2504151387,,,,,,530679.5203245,90.0464112415,,,,,,,,90.0464112415,,,-26.4274148147,,,44.7834262948,,,,,44.7834262948,45.7341441061,25.8761321169,,,437.2038282631,,,,43.7539490078,,,50.6551912427,-83.1089675928,,,20.3986345167,16.8776363158,,,24.2855146057,-76.5564266275,12.1240723532,8.5301554253,8.5301554253,,0.4581286354,15.165704223,,,,,-448.0748042032,47.8319838057,3.9312468649,-40.9379660819,30.2822044388,30.8733177563,18.6014453062,,-497.2921328495,-16.0375165835,-1095.7292071498,,,,-32.7182226241,,,,,24.2855146057,16.8776363158,,,,,20.3986345167,,,,
600168.SH,600168,武汉控股,10002382,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-26 00:00:00,2025-04-25 00:00:00,CNY,247028816.26,,,,,,,,,,,,,26813857.62,,0.0,273842673.88,554314797.99,,,,,,82384089.04,53642333.12,18699077.68,,0.0,709040297.83,,0.0,-435197623.95,,,250500000.0,,,,,0.0,250500000.0,683695141.47,,,,,,,0.0,683695141.47,,0.0,-433195141.47,,,1166943323.87,,,,0.0,1166943323.87,616293818.82,147979643.82,,,876925.4,,,0.0,765150388.04,,0.0,401792935.83,957.27,,0.0,-466598872.32,1398831837.7,,0.0,932232965.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57.8742493305,,,,,,,,,,,,,-22.8058380018,,,-55.9131533771,-3.1458111521,,,,,,-0.2424584423,1.4444502012,22.5683289507,,,-1.9359245192,,,-327.1079637376,,,,,,,,,,52.4625480476,,,,,,,,52.4625480476,,,3.3984139066,,,26.547503788,,,,,26.547503788,55.4611314367,13.0983444742,,,719.64837178,,,,45.0857412827,,,1.7814483298,113.2465882705,,,-199.9177476032,16.8776363158,,,-10.470584752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600168.SH,600168,武汉控股,10002382,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-28 00:00:00,2025-03-28 00:00:00,CNY,3054562790.19,,,,,,,,,,,,1336517.04,70359970.29,,0.0,3126259277.52,1759099976.27,,,,,,329585806.94,142381307.48,61292430.98,,0.0,2292359521.67,,0.0,833899755.85,,,73726.66,,,28250506.85,,0.0,28324233.51,1941933058.88,,,,,,,0.0,1941933058.88,,0.0,-1913608825.37,,,5840685600.05,,2418000.0,,0.0,5843103600.05,4091821038.98,462522901.46,,,7060151.08,,,0.0,4561404091.52,,0.0,1281699508.53,6929.93,,0.0,201997368.94,1196834468.76,,0.0,1398831837.7,145306605.5,8036496.41,695787599.43,695787599.43,,61802109.69,1139724.8,,,,-462238387.72,30465461.89,-832005.0,474233103.54,-46693790.59,-24869377.45,-22741558.01,-2127819.44,,-12333880.97,-870099739.04,683409345.21,,,0.0,833899755.85,,,,,1398831837.7,1196834468.76,,,,,201997368.94,37.2260415081,,,,,,,,,,,,-97.243943622,-2.7555292224,,,33.2146868667,16.7384790972,,,,,,10.2831799566,-26.8084606145,2.614581033,,,11.2801427353,,,190.7671228275,,,-99.9752142656,,,,,,-90.4778416967,27.5837318646,,,,,,,,27.5167097492,,,-56.1582598103,,,-16.8944011981,,,,,-16.859996104,-22.1084147399,-16.6204230056,,,-98.3607601405,,,,-26.8846674642,,,62.3664980061,-84.8684348432,,,235.383651154,-11.0846536216,,,16.8776363158,2211.2492189848,79.9186026968,16.2834413256,16.2834413256,,0.9181783516,53.8703137876,,,,-11840.4437118871,4145.8399364214,-179.5348196951,10.2348255077,-9.6197186915,-43.1409257155,-39.0384086004,-109.0735027451,,-1670.2915302431,30.7787243146,69.6377357971,,,,190.7671228275,,,,,16.8776363158,-11.0846536216,,,,,235.383651154,标准无保留意见,,,
600168.SH,600168,武汉控股,10002382,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-27 00:00:00,2024-10-28 00:00:00,CNY,1494733871.66,,,,,,,,,,,,142661.76,61014257.65,,0.0,1555890791.07,1376053007.18,,,,,,235817922.65,133984395.53,58152554.43,,0.0,1804007879.79,,0.0,-248117088.72,,,104322.0,,,,,0.0,104322.0,665272690.21,,,,,,,0.0,665272690.21,,0.0,-665168368.21,2418000.0,,4128283315.79,,,,0.0,4130701315.79,3299788502.84,343904466.97,,,1183487.4,,,0.0,3644876457.21,,0.0,485824858.58,16744.38,,0.0,-427443853.97,1196834468.76,,0.0,769390614.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8405343724,,,,,,,,,,,,,-46.8537116866,,,-1.6829790174,4.2927029215,,,,,,7.2744990137,-25.0545162989,-11.0446862648,,,1.1561240881,,,-23.5240936706,,,-99.8930516087,,,,,,-99.8930516087,-23.2944697057,,,,,,,,-47.8809788446,,,43.5774262585,,,-25.3399989401,,,,,-25.2962694117,-15.3769534636,-24.7913787483,,,488.7089055917,,,,-16.3417692343,,,-58.5678411108,-40.640531699,,,-106.3324747508,-11.0846536216,,,-32.4429548041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600168.SH,600168,武汉控股,10002382,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-26 00:00:00,2024-08-26 00:00:00,CNY,1026553617.97,,,,,,,,,,,,,51291586.75,,0.0,1077845204.72,950858393.4,,,,,,157929092.46,67981711.99,35950140.52,,0.0,1212719338.37,,0.0,-134874133.65,,,57812.0,,,,,0.0,57812.0,482216292.78,,,,,,,0.0,482216292.78,,0.0,-482158480.78,,,2806124587.49,,,,0.0,2806124587.49,2143098605.84,244122096.28,,,306562.0,,,0.0,2387527264.12,,0.0,418597323.37,20321.73,,0.0,-198414969.33,1196834468.76,,0.0,998419499.43,344519848.56,4376154.93,337246809.65,337246809.65,,30770665.51,449285.17,,,,-462238387.72,157757.98,148200.0,245354672.74,-17702636.29,-18881285.58,-17971809.1,-909476.48,,-8142384.31,-693675732.34,-5269169.4,,,0.0,-134874133.65,,,,,998419499.43,1196834468.76,,,,,-198414969.33,8.3253066484,,,,,,,,,,,,,-49.3959002119,,,2.2592201946,1.2988586909,,,,,,3.6407075281,-54.8022983303,-29.7751563144,,,-6.1834983472,,,43.4769793949,,,-99.9406993912,,,,,,-99.9406993912,-11.8548674961,,,,,,,,-48.9538122469,,,43.0864454261,,,-20.949448878,,,,,-20.949448878,-11.164390082,-29.5630404991,,,-79.0174198905,,,,-13.5102844637,,,-46.9666527476,-22.1576953898,,,33.0717444165,-11.0846536216,,,-4.8742819517,263.1007240637,-4.7656220106,18.8783379938,18.8783379938,,0.7333004694,36.1105600803,,,,,-46.856492299,-15.0385250413,29.6351952037,-27.4746739405,-593.8623207325,-569.2008281363,-2453.0389809588,,-71.4426518687,-17.9664462344,97.8625583473,,,,43.4769793949,,,,,-4.8742819517,-11.0846536216,,,,,33.0717444165,,,,
600168.SH,600168,武汉控股,10002382,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-29 00:00:00,2024-04-26 00:00:00,CNY,586408105.1,,,,,,,,,,,,,34735602.96,,0.0,621143708.06,572318868.79,,,,,,82584321.7,52878529.1,15256043.58,,0.0,723037763.17,,0.0,-101894055.11,,,,,,,,,,448434812.5,,,,,,,0.0,448434812.5,,0.0,-448434812.5,,,922138555.83,,,,0.0,922138555.83,396429521.08,130841564.93,,,106988.0,,,0.0,527378074.01,,0.0,394760481.82,-7226.54,,0.0,-155575612.33,1196834468.76,,0.0,1041258856.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7312230217,,,,,,,,,,,,,88.1069646545,,,12.3489759722,-9.9308126602,,,,,,2.2724547261,-41.7649770836,9.4450940321,,,-11.9226321127,,,61.985810178,,,,,,,,,,5.6359167274,,,,,,,,-44.6759121518,,,37.1224638146,,,-55.1747379838,,,,,-55.1747379838,-60.3743424056,-3.5290266646,,,445.8571428571,,,,-53.5793045422,,,-57.1425420581,-237.9161678887,,,-158.7281755411,-11.0846536216,,,-19.0253511849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600168.SH,600168,武汉控股,10002382,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-03-18 00:00:00,2024-05-14 00:00:00,CNY,2225935220.91,,,,,,,,,,,,48493820.76,72353697.57,,0.0,2346782739.24,1506872446.75,,,,,,298854101.84,194532467.38,59730722.83,,0.0,2059989738.8,,0.0,286793000.44,,,297456024.23,,,,,0.0,297456024.23,1522085167.52,,,,,800000.0,,0.0,1522885167.52,,0.0,-1225429143.29,,,7028029018.81,,,,0.0,7028029018.81,5253226038.88,554719654.54,,,430696645.09,,,0.0,6238642338.51,,0.0,789386680.3,45797.84,,0.0,-149203664.71,1346038133.47,,0.0,1196834468.76,6286929.35,4466740.12,598354840.12,598354840.12,,61239818.93,740704.8,,,,-3871199.42,717536.75,1046089.0,430202616.42,-42596159.84,-17374051.01,-16356313.51,-1017737.5,,-696714.68,-1256983102.99,402863986.6,,,0.0,286793000.44,,,,,1196834468.76,1346038133.47,,,,,-149203664.71,4.9268332605,,,,,,,,,,,,,0.859340577,,,7.0049325837,17.2902047121,,,,,,-3.3083748944,166.736899838,-22.0346591205,,,18.162006065,,,-36.2389338726,,,414927.1010626683,,,,,,-7.3368640796,-7.3940244158,,,,,-99.7927729569,,,-36.175856971,,,40.658807346,,,57.864261987,,,,,57.7708847246,97.5139272156,31.2417288613,,,1919.3829693282,,,,101.0084264032,,,-41.5661782633,494.7432884012,,,43.5620517834,-16.4162122309,,,-11.0846536216,-98.5208213674,58.7708932099,11.0075806775,11.0075806775,,-6.9227788344,212.4451447617,,,,99.1972775713,55.5294464914,223.8916324793,23.5066320417,-47.8465544646,41.9017822001,45.0625341765,-670.9155498701,,-113.1739287381,5.2350117427,-45.3295744239,,,,-36.2389338726,,,,,-11.0846536216,-16.4162122309,,,,,43.5620517834,标准无保留意见,,,
